[Tue Sep 10 11:59:23 2024] [INFO] [initializeSignalHandling]		 Initializing signal handling
[Tue Sep 10 11:59:23 2024] [INFO] [bindAndListen]		 Server is listening at http://127.0.0.1:8080
[Tue Sep 10 11:59:24 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:25 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:26 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:27 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:28 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:29 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:30 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:31 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:32 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:33 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:34 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:35 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:36 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:37 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:38 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:39 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:40 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:41 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:42 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:43 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:44 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:45 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:46 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:47 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:48 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:49 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:50 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:51 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:52 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:53 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:54 2024] [INFO] [acceptClient]		 New connection, socket fd is [6], IP is : 127.0.0.1, port : 50650
[Tue Sep 10 11:59:54 2024] [DEBUG] [readFromSocket]		 Reading from client socket 6
[Tue Sep 10 11:59:54 2024] [DEBUG] [recvHeader]		 Header received from client 6
[Tue Sep 10 11:59:54 2024] [INFO] [acceptClient]		 New connection, socket fd is [7], IP is : 127.0.0.1, port : 50652
[Tue Sep 10 11:59:54 2024] [INFO] [handleCgiRead]		 Reading from CGI process 5650
[Tue Sep 10 11:59:54 2024] [DEBUG] [handleCgiRead]		 CGI process 5650 is still running and waiting for more data
[Tue Sep 10 11:59:54 2024] [INFO] [handleCgiRead]		 Reading from CGI process 5650
[Tue Sep 10 11:59:54 2024] [INFO] [handleWrite]		 Handling write for client 6
[Tue Sep 10 11:59:54 2024] [INFO] [handleWrite]		 Write completed for client 6
[Tue Sep 10 11:59:55 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:56 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:57 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:58 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 11:59:59 2024] [DEBUG] [run]		 No events to process
[Tue Sep 10 12:00:00 2024] [DEBUG] [run]		 No events to process
